Known As,Full Name,Overall,Potential,Value,Positions Played,Best Position,Nationality,Image Link,Age,Height(in cm),Weight(in kg),TotalStats,BaseStats,Club Name,Wage,Release Clause,Club Position,Contract Until,Club Jersey Number,Joined On,On Loan,Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,National Team Name,National Team Image Link,National Team Position,National Team Jersey Number,Attacking Work Rate,Defensive Work Rate,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Freekick Accuracy,LongPassing,BallControl,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,Goalkeeper Diving,Goalkeeper Handling, GoalkeeperKicking,Goalkeeper Positioning,Goalkeeper Reflexes,ST Rating,LW Rating,LF Rating,CF Rating,RF Rating,RW Rating,CAM Rating,LM Rating,CM Rating,RM Rating,LWB Rating,CDM Rating,RWB Rating,LB Rating,CB Rating,RB Rating,GK Rating
M. Cioiu,Marius Cioiu,60,72,600000,"RW,CAM,RM",RM,Romania,https://cdn.sofifa.net/players/262/719/23_60.png,22,181,74,1579,340,Petrolul Ploiești,1000,930000,RW,2024,24,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/ro.png,-,-,Medium,Medium,72,57,57,61,37,56,58,57,48,60,45,60,58,53,55,61,71,72,70,53,73,61,45,69,54,56,49,37,56,54,57,53,36,35,34,6,7,8,10,11,60,60,59,59,59,60,61,62,58,62,54,51,54,52,46,52,15
M. Lixandru,Mihai Lixandru,60,73,575000,"CDM,CM",CDM,Romania,https://cdn.sofifa.net/players/253/758/23_60.png,21,184,75,1538,337,CS Mioveni,2000,0,CM,2023,5,2022,TRUE,Right,2,2,1,-,https://cdn.sofifa.net/flags/ro.png,-,-,Medium,Medium,65,44,52,57,58,61,40,43,54,61,33,54,37,37,54,60,67,64,61,60,57,48,49,58,65,45,58,57,53,54,40,48,59,60,56,12,9,14,13,6,56,55,55,55,55,55,58,58,59,58,59,61,59,60,61,60,18
R. Tierney,Ross Tierney,60,72,600000,CAM,CAM,Republic of Ireland,https://cdn.sofifa.net/players/251/454/23_60.png,21,174,65,1671,361,Motherwell,1000,1200000,SUB,2025,26,2022,-,Right,3,2,1,-,-,-,-,High,Medium,74,55,56,60,54,62,48,58,44,63,46,55,51,47,54,63,73,74,72,59,70,52,59,77,54,52,66,65,58,55,55,54,48,59,47,7,11,9,12,8,59,60,59,59,59,60,62,62,62,62,62,62,62,61,58,61,17
W. Machado,William Machado,60,60,250000,"CM,RM",CDM,Uruguay,https://cdn.sofifa.net/players/266/302/23_60.png,28,173,68,1652,349,Arsenal de Sarandí,2000,363000,SUB,2022,28,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/uy.png,-,-,Medium,Medium,58,50,59,59,58,65,50,48,54,66,45,55,47,41,63,64,64,53,64,52,75,58,55,68,64,49,67,58,55,58,46,49,57,60,62,8,11,13,8,14,57,57,57,57,57,57,60,60,60,60,60,60,60,60,60,60,17
J. Oluwayemi,Joshua Oluwayemi,60,72,525000,GK,GK,England,https://cdn.sofifa.net/players/252/477/23_60.png,21,189,82,960,330,Portsmouth,1000,1000000,SUB,2023,21,2022,-,Right,2,1,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium,62,56,53,64,36,59,14,5,11,29,6,11,10,11,25,19,36,35,42,53,59,40,61,21,54,9,23,9,5,39,12,34,5,12,10,62,56,53,59,64,23,22,22,22,22,22,26,25,26,25,22,24,22,21,22,21,61
O. Dodgson,Owen Dodgson,60,71,500000,"LB,LM",LB,England,https://cdn.sofifa.net/players/264/505/23_60.png,19,178,70,1565,337,Burnley,3000,1100000,RES,2025,39,2020,-,Left,2,2,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium,66,42,54,58,56,61,62,39,53,55,39,59,55,45,49,58,69,64,59,52,66,48,61,63,62,44,58,56,51,51,31,48,54,59,55,6,11,13,9,9,54,55,53,53,53,55,56,59,56,59,60,58,60,60,59,60,16
K. Taylor,Kyle Taylor,60,63,325000,CM,CAM,England,https://cdn.sofifa.net/players/239/676/23_60.png,23,178,70,1680,353,Exeter City,1000,593000,SUB,2024,17,2021,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Medium,65,54,60,63,52,59,56,52,49,63,52,62,58,53,61,62,69,61,73,58,71,59,74,67,58,54,47,50,59,61,51,62,51,55,52,8,12,7,6,9,60,60,60,60,60,60,63,63,62,63,60,59,60,59,56,59,16
W. Agada,William Agada,60,67,500000,"ST,LW",ST,Nigeria,https://cdn.sofifa.net/players/270/652/23_60.png,22,175,75,1461,308,Sporting Kansas City,1000,825000,ST,2023,23,2022,-,Right,4,2,1,-,-,-,-,High,Medium,71,60,45,54,21,57,32,62,62,48,48,46,44,41,44,58,73,70,64,57,72,62,69,58,64,56,33,18,60,53,64,58,14,18,16,13,10,9,8,15,62,55,57,57,57,55,57,56,51,56,41,39,41,40,37,40,18
P. Peda,Patryk Peda,60,70,500000,"CB,RB",CB,Poland,https://cdn.sofifa.net/players/268/860/23_60.png,20,190,83,1373,305,SPAL,500,875000,SUB,2024,27,2021,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/pl.png,-,-,Medium,Medium,64,31,41,41,59,69,31,28,54,55,38,38,37,33,33,40,63,64,49,61,42,43,64,62,80,21,51,63,28,37,40,43,59,59,55,13,6,9,6,11,46,42,42,42,42,42,44,46,46,46,56,56,56,58,62,58,17
T. Durso,Tomás Durso,60,68,475000,GK,GK,Argentina,https://cdn.sofifa.net/players/240/955/23_60.png,23,187,80,894,325,Gimnasia y Esgrima La Plata,2000,808000,SUB,2023,1,2017,-,Right,2,1,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,Medium,60,59,58,60,26,62,12,5,13,17,9,14,10,14,29,11,33,15,29,49,48,44,59,23,46,5,21,8,8,25,10,37,15,13,10,60,59,58,62,60,21,17,18,18,18,17,20,21,22,21,19,22,19,19,22,19,61
J. Stenmark,Johan Stenmark,60,71,500000,CB,CB,Sweden,https://cdn.sofifa.net/players/240/187/23_60.png,23,194,85,1457,321,Kalmar FF,600,725000,SUB,2022,23,2017,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/se.png,-,-,Medium,Medium,62,29,49,50,56,75,54,24,56,59,24,43,31,33,49,55,52,70,61,51,51,35,72,64,82,28,71,52,41,36,37,55,55,59,55,11,9,15,9,13,47,47,45,45,45,47,49,52,51,52,58,58,58,59,62,59,17
J. Hernandez,Jorge Hernandez,60,69,550000,"CAM,RM,ST",CAM,United States,https://cdn.sofifa.net/players/268/859/23_60.png,21,170,68,1663,341,KV Mechelen,2000,935000,RES,2024,26,2022,-,Left,3,2,1,-,https://cdn.sofifa.net/flags/us.png,-,-,Medium,Medium,63,59,60,63,40,56,58,57,37,61,53,62,65,68,61,62,68,59,71,46,78,62,64,57,51,63,64,37,57,56,63,60,41,43,38,7,12,14,14,14,58,60,58,58,58,60,62,61,59,61,53,53,53,51,48,51,18
L. Usca,Lenín Usca,60,65,300000,GK,GK,Ecuador,https://cdn.sofifa.net/players/265/531/23_60.png,22,182,77,934,327,9 de Octubre,500,668000,SUB,2022,28,2020,-,Right,3,1,1,-,https://cdn.sofifa.net/flags/ec.png,-,-,Medium,Medium,55,58,60,60,31,63,15,10,13,19,10,7,12,15,17,13,35,25,31,60,45,45,65,25,45,10,25,13,7,29,13,28,7,14,13,55,58,60,63,60,23,19,20,20,20,19,22,22,22,22,22,22,22,22,23,22,61
F. Chiarodia,Fabio Chiarodia,60,83,725000,CB,CB,Italy,https://cdn.sofifa.net/players/264/763/23_60.png,17,186,78,1477,322,SV Werder Bremen,500,2000000,RES,2025,39,2021,-,Left,3,2,1,-,https://cdn.sofifa.net/flags/it.png,-,-,Medium,Medium,66,33,48,55,61,59,51,26,62,57,35,55,36,34,54,50,64,67,61,61,59,42,71,50,66,38,50,56,26,31,41,53,64,61,57,11,14,11,9,7,48,48,46,46,46,48,49,52,51,52,59,58,59,60,62,60,18
L. Macari,Lewis Macari,60,74,575000,"RB,CB",RB,Scotland,https://cdn.sofifa.net/players/263/739/23_60.png,20,185,77,1471,309,Dundalk FC,3000,0,RB,2022,2,2020,TRUE,Right,3,2,1,-,https://cdn.sofifa.net/flags/gb-sct.png,-,-,Medium,Medium,57,34,51,51,59,57,65,20,54,50,27,51,45,27,50,50,58,57,55,57,47,48,70,55,61,45,46,59,61,48,37,41,59,61,59,15,13,9,6,6,49,51,49,49,49,51,52,54,54,54,59,57,59,60,60,60,17
O. Sewerzyński,Oskar Sewerzyński,60,69,500000,"CDM,CM",CB,Poland,https://cdn.sofifa.net/players/247/353/23_60.png,20,186,76,1561,332,Korona Kielce,550,775000,CDM,2023,26,2019,-,Right,2,2,1,-,https://cdn.sofifa.net/flags/pl.png,-,-,Medium,Medium,60,39,52,54,56,71,36,30,59,62,41,49,38,34,59,58,57,62,63,56,69,56,61,68,76,40,66,50,48,53,40,42,58,57,58,9,13,12,9,14,53,50,51,51,51,50,55,55,58,55,57,61,57,58,62,58,18
J. Ogedi-Uzokwe,Junior Ogedi-Uzokwe,60,60,250000,"ST,RM",ST,England,https://cdn.sofifa.net/players/241/977/23_60.png,28,185,76,1622,348,Bohemian FC,700,388000,SUB,2023,9,2021,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Low,82,60,52,61,35,58,48,60,53,56,51,62,58,52,46,55,83,82,71,54,67,57,72,61,55,63,57,19,63,54,59,59,34,40,35,11,7,10,14,13,60,60,60,60,60,60,60,60,55,60,51,47,51,50,46,50,18
M. Al Qarni,Mohammed Al Qarni,60,60,160000,"CDM,CM,RB",CDM,Saudi Arabia,https://cdn.sofifa.net/players/208/953/23_60.png,32,181,66,1603,342,Al Wehda,4000,264000,SUB,2024,8,2019,-,Right,4,2,1,-,https://cdn.sofifa.net/flags/sa.png,-,-,Low,Medium,56,50,54,55,58,69,48,47,49,58,36,50,44,40,56,57,64,50,71,51,61,57,60,70,71,58,66,61,46,55,44,61,57,60,57,13,10,15,8,13,54,53,53,53,53,53,56,56,58,56,59,60,59,59,60,59,18
T. Clarke,Trevor Clarke,60,62,300000,LB,CAM,Republic of Ireland,https://cdn.sofifa.net/players/231/926/23_60.png,24,175,65,1670,364,Bristol Rovers,1000,548000,RES,2024,20,2021,-,Left,2,3,1,-,-,-,-,High,Medium,80,51,57,62,54,60,60,49,44,59,35,61,53,48,59,60,81,80,73,53,71,59,75,42,62,55,74,52,51,54,46,53,53,58,59,8,11,10,7,8,58,60,58,58,58,60,61,61,58,61,60,59,60,60,60,60,15
S. Škrbo,Stefan Škrbo,60,71,550000,LM,RM,Austria,https://cdn.sofifa.net/players/263/093/23_60.png,21,176,70,1599,338,WSG Tirol,1000,908000,SUB,2025,23,2021,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/at.png,-,-,Medium,Medium,71,55,56,62,43,51,61,56,45,58,48,61,57,48,51,62,72,71,74,52,79,57,67,54,45,55,57,31,53,52,43,47,45,49,43,7,13,11,12,10,58,60,58,58,58,60,60,61,56,61,55,51,55,53,49,53,17
E. Löder,Elias Löder,60,69,550000,"CAM,RM",CAM,Germany,https://cdn.sofifa.net/players/244/014/23_60.png,22,183,72,1532,332,Hallescher FC,900,908000,SUB,2023,19,2021,-,Right,4,3,1,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,71,56,55,62,38,50,54,58,35,58,44,61,54,38,55,63,66,75,70,52,67,56,53,61,44,57,52,41,60,57,47,59,46,30,31,10,12,12,8,5,58,60,59,59,59,60,62,62,58,62,53,51,53,51,45,51,16
S. Araujo,Sebastián Araujo,60,66,300000,GK,GK,Colombia,https://cdn.sofifa.net/players/261/409/23_60.png,25,183,79,961,338,Junior FC,500,480000,SUB,2022,22,2021,-,Right,2,1,1,-,https://cdn.sofifa.net/flags/co.png,-,-,Medium,Medium,60,61,59,63,37,58,14,6,14,25,8,5,13,13,29,11,36,38,41,50,48,44,61,29,42,8,27,12,4,38,17,39,5,10,12,60,61,59,58,63,22,19,20,20,20,19,23,23,24,23,22,23,22,22,21,22,61
A. Al Ruhaili,Ahmad Al Ruhaili,60,64,250000,GK,GK,Saudi Arabia,https://cdn.sofifa.net/players/225/061/23_60.png,27,189,85,1028,333,Al Raed,2000,431000,SUB,2024,23,2019,-,Right,3,1,1,-,https://cdn.sofifa.net/flags/sa.png,-,-,Medium,Medium,62,58,54,57,43,59,19,14,17,25,11,19,12,12,23,16,43,43,35,58,34,41,54,33,73,14,18,18,10,31,18,45,17,19,11,62,58,54,59,57,29,25,25,25,25,25,27,28,27,28,27,27,27,27,29,27,61
D. Kunst,Des Kunst,60,67,500000,ST,ST,Netherlands,https://cdn.sofifa.net/players/259/620/23_60.png,22,191,84,1477,322,Varbergs BoIS FC,700,725000,SUB,2023,32,2021,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/nl.png,-,-,Medium,Medium,62,59,47,58,34,62,34,61,59,56,50,57,39,37,38,60,60,64,57,50,57,61,57,56,68,56,55,35,62,57,58,59,35,27,27,7,5,12,11,9,62,56,59,59,59,56,59,57,54,57,46,47,46,45,46,45,15
R. Heußer,Robin Heußer,60,65,375000,CM,CAM,Germany,https://cdn.sofifa.net/players/269/604/23_60.png,24,170,73,1616,344,SV Wehen Wiesbaden,1000,572000,SUB,2024,7,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,62,45,61,62,49,65,54,46,39,66,39,58,52,50,63,60,63,61,84,54,86,50,51,72,70,38,45,47,62,63,40,57,49,52,52,14,10,8,5,13,56,58,57,57,57,58,62,62,62,62,59,59,59,57,54,57,17
R. Connolly,Ryan Connolly,60,60,210000,CDM,CDM,Republic of Ireland,https://cdn.sofifa.net/players/200/484/23_60.png,30,177,76,1686,345,Finn Harps,500,326000,CDM,2022,6,2019,-,Left,3,2,1,-,-,-,-,High,High,53,53,59,58,56,66,58,48,49,60,54,55,60,57,59,58,52,54,67,57,63,58,68,77,64,58,59,57,52,59,59,58,57,57,55,12,7,15,10,11,56,56,55,55,55,56,59,59,60,59,60,60,60,60,59,60,17
R. Adamski,Rafał Adamski,60,73,600000,ST,ST,Poland,https://cdn.sofifa.net/players/247/331/23_60.png,20,195,79,1414,307,Zagłębie Lubin,2000,1200000,SUB,2023,19,2021,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/pl.png,-,-,Medium,Low,75,57,40,55,20,60,29,61,63,47,58,56,52,30,34,57,79,72,58,56,43,58,46,63,56,44,70,13,61,44,67,47,17,15,13,12,13,6,11,10,62,55,57,57,57,55,56,56,48,56,41,39,41,39,37,39,18
L. von Schroetter,Leonhard von Schroetter,60,66,375000,RB,CB,Germany,https://cdn.sofifa.net/players/270/115/23_60.png,23,188,87,1471,333,FSV Zwickau,500,619000,SUB,2023,29,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,63,36,49,56,57,72,58,40,56,57,26,54,34,30,51,59,67,60,56,55,49,40,60,60,81,22,69,53,48,33,41,60,57,60,55,6,11,9,7,7,53,52,50,50,50,52,52,56,53,56,59,59,59,60,62,60,15
J. Seo,Jong-min Seo,60,74,600000,CAM,CAM,Korea Republic,https://cdn.sofifa.net/players/262/947/23_60.png,20,180,73,1559,335,SG Dynamo Dresden,1000,1200000,SUB,2024,18,2021,-,Left,4,3,1,-,-,-,-,Medium,Medium,73,48,56,65,38,55,46,45,44,61,42,65,52,49,55,63,71,75,77,56,76,57,51,55,59,44,48,41,58,60,45,45,32,37,47,9,7,14,9,9,58,60,59,59,59,60,62,62,59,62,54,52,54,52,48,52,16
O. Bunjaku,Orges Bunjaku,60,75,550000,CDM,CAM,Switzerland,https://cdn.sofifa.net/players/255/778/23_60.png,20,180,75,1660,359,Grenoble Foot 38,800,1300000,RES,2024,25,2021,-,Left,3,2,1,-,https://cdn.sofifa.net/flags/ch.png,-,-,Medium,Medium,68,48,60,65,54,64,53,46,57,67,37,64,50,48,61,67,69,67,73,49,71,57,63,70,62,45,60,53,58,59,49,49,51,55,56,11,7,7,9,9,59,60,59,59,59,60,63,63,63,63,61,61,61,60,59,60,15
C. Albornoz,Camilo Albornoz,60,72,575000,CB,CB,Argentina,https://cdn.sofifa.net/players/252/194/23_60.png,21,185,76,1564,327,Atlético Tucumán,1000,978000,RES,2022,25,2019,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,Low,High,51,44,57,55,59,61,49,38,65,64,39,52,47,49,60,61,50,51,54,59,64,62,60,55,65,44,59,54,27,56,56,41,56,63,60,6,11,5,9,14,53,51,51,51,51,51,55,54,58,54,59,61,59,59,62,59,17
R. Berişbek,Rahmetullah Berişbek,60,69,550000,"CAM,CM",CAM,Turkey,https://cdn.sofifa.net/players/243/234/23_60.png,23,175,70,1637,344,GZT Giresunspor,2000,1200000,SUB,2025,19,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/tr.png,-,-,High,Medium,71,52,58,63,48,52,49,50,58,62,51,64,59,49,60,61,72,71,69,59,68,61,64,56,50,46,48,38,59,59,59,54,43,54,52,10,12,8,5,11,60,60,60,60,60,60,62,62,60,62,57,55,57,56,53,56,17
C. Merrie,Chris Merrie,60,62,300000,"CDM,CM",CDM,England,https://cdn.sofifa.net/players/240/674/23_60.png,23,176,70,1638,350,Tranmere Rovers,2000,548000,SUB,2023,6,2021,-,Left,3,2,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium,64,52,56,57,57,64,49,51,47,61,46,55,48,49,59,57,65,64,58,56,69,55,57,58,68,53,64,57,50,57,50,55,58,59,57,12,10,13,15,11,57,56,56,56,56,56,59,58,59,58,59,61,59,59,60,59,19
N. Agbaje,Noah Shawn Agbaje,60,70,550000,"LM,RM",LM,Germany,https://cdn.sofifa.net/players/270/114/23_60.png,21,170,70,1430,304,FSV Zwickau,500,908000,SUB,2024,20,2022,-,Left,4,2,1,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,68,49,56,59,26,46,61,55,37,56,40,61,50,44,51,56,70,66,61,53,81,50,48,63,43,37,31,22,52,61,49,47,25,25,25,11,13,14,10,9,54,58,56,56,56,58,59,61,54,61,48,43,48,45,36,45,18
O. Camara,Ousoumane Camara,60,69,550000,CM,CM,France,https://cdn.sofifa.net/players/251/169/23_60.png,23,184,80,1593,341,AJ Auxerre,3000,1200000,RES,2024,8,2019,-,Left,2,2,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Medium,61,49,57,60,48,66,41,40,56,70,41,57,43,38,65,63,69,54,67,53,66,67,65,69,66,50,61,46,61,53,43,50,40,54,51,11,8,9,10,6,59,56,58,58,58,56,61,60,62,60,57,59,57,56,56,56,16
Jin Seong Wook,Seong Wook Jin,60,60,250000,ST,ST,Korea Republic,https://cdn.sofifa.net/players/210/726/23_60.png,28,183,78,1519,338,Jeju United FC,2000,313000,SUB,2023,2,2017,-,Right,4,2,1,-,-,-,-,High,Medium,71,56,49,65,25,72,51,57,54,57,32,64,34,32,36,61,70,72,76,57,76,62,67,72,75,50,68,12,61,51,58,64,32,19,20,10,8,9,7,9,60,60,60,60,60,60,60,60,53,60,48,44,48,45,43,45,16
P. González,Pedro González,60,70,475000,GK,GK,Paraguay,https://cdn.sofifa.net/players/248/865/23_60.png,23,188,83,961,331,Club Olimpia,500,1100000,SUB,2023,13,2016,-,Right,2,1,1,-,https://cdn.sofifa.net/flags/py.png,-,-,Medium,Medium,60,61,62,61,32,55,11,7,10,40,5,11,11,14,50,14,33,30,29,55,34,47,44,25,62,7,24,6,8,35,16,32,9,13,12,60,61,62,55,61,25,21,23,23,23,21,27,26,30,26,23,28,23,22,24,22,61
T. Weiner,Timon Weiner,60,66,325000,GK,GK,Germany,https://cdn.sofifa.net/players/244/001/23_60.png,23,191,76,1114,350,Holstein Kiel,2000,569000,RES,2023,33,2018,-,Right,4,1,1,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,61,57,61,64,50,57,26,17,20,30,14,24,21,17,30,29,50,51,30,53,35,46,60,45,64,15,18,12,9,40,15,44,12,20,11,61,57,61,57,64,32,30,30,30,30,30,32,34,32,34,30,29,30,29,28,29,61
Álex Castro,Alejandro Pérez Castroviejo,60,70,550000,LM,CAM,Spain,https://cdn.sofifa.net/players/264/737/23_60.png,20,175,66,1527,328,Elche CF,2000,1300000,RES,2025,30,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,73,58,52,65,33,47,52,59,55,55,45,66,50,50,50,65,74,72,72,53,66,67,53,46,48,50,45,23,54,50,60,55,31,34,29,11,10,13,7,12,61,60,60,60,60,60,61,61,54,61,49,45,49,47,42,47,17
M. González,Matías González,60,74,600000,"RM,CAM,CM",CAM,Argentina,https://cdn.sofifa.net/players/258/080/23_60.png,20,173,62,1547,322,Club Atlético Banfield,2000,1200000,RM,2022,28,2020,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,Medium,64,48,59,64,49,38,51,46,38,66,45,65,50,48,64,61,68,60,70,59,82,55,53,34,36,47,43,53,58,56,40,57,46,52,53,7,9,13,6,13,56,59,58,58,58,59,62,61,60,61,56,56,56,55,51,55,16
C. Grant,Conor Grant,60,70,550000,"LW,CM",CAM,Republic of Ireland,https://cdn.sofifa.net/players/254/496/23_60.png,20,178,72,1643,358,Milton Keynes Dons,2000,1100000,SUB,2025,16,2022,-,Right,3,2,1,-,-,-,-,Medium,Medium,74,54,58,62,55,55,47,53,47,64,43,61,49,44,62,60,74,74,67,57,76,55,35,66,52,54,53,54,59,61,55,58,53,60,57,10,14,8,10,9,59,60,60,60,60,60,63,63,63,63,61,61,61,61,57,61,18
Adrián,Adrián Rodríguez Giménez,60,73,525000,GK,GK,Argentina,https://cdn.sofifa.net/players/253/216/23_60.png,21,195,83,889,329,Deportivo Alavés,950,1200000,RES,2023,33,2020,-,Right,3,1,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,Medium,57,58,64,60,28,62,11,8,11,17,7,14,11,11,22,12,25,32,27,52,30,48,38,19,65,8,27,13,4,30,11,34,9,13,13,57,58,64,62,60,23,18,20,20,20,18,21,21,22,21,20,23,20,20,24,20,61
D. Ungar,David Ungar,60,67,475000,"CDM,CB,CM",CDM,Austria,https://cdn.sofifa.net/players/269/856/23_60.png,22,188,79,1511,330,SV Ried,2000,784000,SUB,2023,66,2022,-,Right,2,2,1,-,https://cdn.sofifa.net/flags/at.png,-,-,Medium,Medium,62,35,56,55,55,67,45,29,60,64,31,52,38,38,61,59,61,62,56,60,51,51,59,58,76,30,60,53,43,60,40,45,52,59,54,8,13,14,8,6,52,52,52,52,52,52,56,57,59,57,58,61,58,58,61,58,17
K. Pinargote,Kleber Pinargote,60,79,575000,GK,GK,Ecuador,https://cdn.sofifa.net/players/261/407/23_60.png,19,188,77,869,320,Independiente del Valle,500,1600000,SUB,2023,22,2021,-,Right,2,1,1,-,https://cdn.sofifa.net/flags/ec.png,-,-,Medium,Medium,61,55,58,63,27,56,11,5,11,20,5,5,11,9,13,19,32,20,29,60,42,44,59,27,38,6,20,13,5,27,11,23,9,14,11,61,55,58,56,63,22,18,19,19,19,18,21,21,22,21,22,22,22,21,22,21,61
M. Al Ghamdi,Mohammed Al Ghamdi,60,60,220000,"RB,CB",RB,Saudi Arabia,https://cdn.sofifa.net/players/259/359/23_60.png,28,178,75,1497,334,Al Taawoun,4000,363000,SUB,2024,6,2021,-,Right,4,2,1,-,https://cdn.sofifa.net/flags/sa.png,-,-,Medium,Medium,74,34,48,51,57,70,47,35,51,53,34,47,44,27,57,50,71,76,62,51,64,36,81,78,70,29,56,58,34,41,33,49,59,56,53,12,6,8,7,11,48,49,46,46,46,49,50,54,52,54,60,58,60,60,60,60,16
M. Fenger,Max Fenger,60,72,600000,"ST,LW",ST,Denmark,https://cdn.sofifa.net/players/256/799/23_60.png,20,182,75,1489,321,Odense Boldklub,2000,870000,SUB,2025,15,2020,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/dk.png,-,-,High,Medium,66,57,51,60,21,66,45,60,61,58,45,59,46,38,42,62,64,67,62,60,64,57,75,68,69,51,54,15,59,57,60,56,18,17,15,7,6,13,6,9,62,59,60,60,60,59,61,60,55,60,45,43,45,42,40,42,15
D. Agyei,Dan Agyei,60,63,325000,ST,ST,England,https://cdn.sofifa.net/players/228/382/23_60.png,25,183,77,1559,340,Crewe Alexandra,2000,593000,LM,2023,11,2022,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Medium,77,57,48,60,31,67,39,58,57,55,49,59,55,33,41,60,75,79,64,56,60,60,79,59,73,52,61,27,60,54,58,59,29,30,26,11,9,15,10,6,62,59,60,60,60,59,60,60,54,60,48,47,48,47,46,47,16
I. Achara,Ifunanyachi Achara,60,64,350000,"LM,ST,RM",ST,Nigeria,https://cdn.sofifa.net/players/256/028/23_60.png,24,178,73,1583,344,Toronto FC,1000,551000,RES,2023,99,2020,-,Right,3,2,1,-,-,-,-,Medium,Medium,81,60,52,63,31,57,55,59,55,57,53,62,51,43,45,61,78,84,78,50,68,68,78,34,69,59,48,34,59,50,56,55,29,26,22,12,11,11,9,9,63,61,61,61,61,61,61,61,53,61,48,45,48,46,45,46,17
J. Pukaj,Jozef Pukaj,60,70,475000,GK,GK,Switzerland,https://cdn.sofifa.net/players/245/797/23_60.png,22,192,85,867,323,FC Winterthur,900,784000,GK,2024,36,2021,-,Right,3,1,1,-,https://cdn.sofifa.net/flags/ch.png,-,-,Medium,Medium,63,61,60,62,20,57,14,5,10,24,5,6,11,14,24,10,16,25,35,41,32,45,32,27,61,9,17,12,6,30,17,38,8,14,14,63,61,60,57,62,20,16,17,17,17,16,20,19,22,19,20,23,20,20,22,20,61
J. Weir,Jensen Weir,60,72,550000,"CDM,CM",CAM,England,https://cdn.sofifa.net/players/246/054/23_60.png,20,184,74,1655,354,Morecambe,6000,0,CM,2023,15,2020,TRUE,Right,3,2,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium,67,54,59,60,56,58,48,52,49,64,48,57,47,56,63,62,66,68,64,57,63,56,58,64,56,55,53,53,59,60,56,58,57,60,57,7,6,14,10,10,59,59,59,59,59,59,62,62,62,62,60,61,60,60,59,60,16
J. Nolan,Jon Nolan,60,60,240000,CM,CM,England,https://cdn.sofifa.net/players/223/004/23_60.png,30,180,72,1709,352,Tranmere Rovers,3000,420000,SUB,2023,16,2022,-,Right,4,3,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Medium,60,57,59,63,55,58,53,55,46,62,59,60,65,53,61,62,57,63,79,58,81,60,69,59,53,62,67,56,53,59,51,60,54,59,57,5,4,14,4,9,59,59,59,59,59,59,60,60,60,60,60,60,60,59,59,59,14
Han Seung Gyu,Seung Gyu Han,60,62,300000,"CM,CAM",CAM,Korea Republic,https://cdn.sofifa.net/players/237/098/23_60.png,25,174,65,1690,364,FC Seoul,1000,398000,SUB,2024,61,2022,-,Right,4,4,1,-,-,-,-,Medium,Medium,72,56,62,67,46,61,61,53,45,63,42,66,63,57,58,67,68,75,84,60,62,62,75,63,59,60,61,43,58,65,47,61,57,39,38,5,7,6,13,8,61,62,62,62,62,62,62,62,62,62,58,57,58,56,53,56,16
